Red Signal, IR Signal
127605.000000, 156968.000000
127442.000000, 156572.000000
127365.000000, 156381.000000
127319.000000, 156278.000000
127308.000000, 156267.000000
127276.000000, 156178.000000
127248.000000, 156116.000000
127238.000000, 156084.000000
127216.000000, 155995.000000
127223.000000, 156062.000000
127314.000000, 156298.000000
127470.000000, 156664.000000
127516.000000, 156790.000000
127569.000000, 156898.000000
127578.000000, 156911.000000
127614.000000, 156991.000000
127624.000000, 157055.000000
127521.000000, 156743.000000
127338.000000, 156248.000000
127216.000000, 155893.000000
127133.000000, 155682.000000
127071.000000, 155540.000000
127049.000000, 155509.000000
127052.000000, 155538.000000
127071.000000, 155584.000000
127049.000000, 155565.000000
127027.000000, 155506.000000
127019.000000, 155506.000000
127040.000000, 155551.000000
127061.000000, 155644.000000
127087.000000, 155729.000000
127131.000000, 155806.000000
127150.000000, 155920.000000
127180.000000, 155998.000000
127209.000000, 156072.000000
127131.000000, 155866.000000
126935.000000, 155300.000000
126709.000000, 154717.000000
126575.000000, 154385.000000
126537.000000, 154267.000000
126532.000000, 154262.000000
126585.000000, 154401.000000
126644.000000, 154548.000000
126683.000000, 154639.000000
126698.000000, 154665.000000
126690.000000, 154677.000000
126722.000000, 154750.000000
126773.000000, 154858.000000
126827.000000, 155016.000000
126895.000000, 155184.000000
126932.000000, 155296.000000
126973.000000, 155404.000000
126973.000000, 155401.000000
126817.000000, 154993.000000
126584.000000, 154394.000000
126442.000000, 153973.000000
126405.000000, 153859.000000
126405.000000, 153855.000000
126434.000000, 153961.000000
126514.000000, 154149.000000
126580.000000, 154308.000000
126615.000000, 154389.000000
126626.000000, 154421.000000
126668.000000, 154545.000000
126731.000000, 154700.000000
126790.000000, 154833.000000
126849.000000, 155009.000000
126907.000000, 155162.000000
126974.000000, 155320.000000
127037.000000, 155503.000000
127097.000000, 155630.000000
127010.000000, 155413.000000
126790.000000, 154807.000000
126601.000000, 154309.000000
126510.000000, 154050.000000
126470.000000, 153955.000000
126462.000000, 153955.000000
126515.000000, 154087.000000
126564.000000, 154233.000000
126593.000000, 154278.000000
126599.000000, 154308.000000
126605.000000, 154319.000000
126619.000000, 154365.000000
126662.000000, 154473.000000
126712.000000, 154605.000000
126761.000000, 154741.000000
126815.000000, 154868.000000
126876.000000, 155022.000000
126932.000000, 155184.000000
126988.000000, 155338.000000
126989.000000, 155336.000000
126821.000000, 154874.000000
126637.000000, 154361.000000
126537.000000, 154109.000000
126527.000000, 154071.000000
126547.000000, 154121.000000
126606.000000, 154259.000000
126692.000000, 154475.000000
126750.000000, 154642.000000
126782.000000, 154716.000000
126801.000000, 154789.000000
126831.000000, 154855.000000
126868.000000, 154954.000000
126926.000000, 155115.000000
126992.000000, 155268.000000
127033.000000, 155389.000000
127086.000000, 155515.000000
127142.000000, 155669.000000
127177.000000, 155764.000000
127157.000000, 155742.000000
126998.000000, 155297.000000
126670.000000, 154423.000000
126707.000000, 154541.000000
126736.000000, 154615.000000
126764.000000, 154691.000000
126806.000000, 154819.000000
126861.000000, 154957.000000
126931.000000, 155118.000000
126995.000000, 155290.000000
127053.000000, 155451.000000
127098.000000, 155597.000000
